20201118,高新,横塘,整租·水岸秀墅,4室2厅,380平米,5000
20201118,高新,横塘,整租·横塘路88号,3室2厅,80平米,2800
20201118,高新,横塘,整租·横塘路88号,3室1厅,92平米,3500
20201118,高新,横塘,整租·中锐星悦湾名苑,2室1厅,43平米,2900
20201118,高新,横塘,整租·横塘路88号,3室2厅,92平米,2700
20201118,高新,横塘,整租·锦悦湾雅园,3室1厅,91平米,3600
20201118,高新,横塘,整租·横塘路88号,3室2厅,107平米,3500
20201118,高新,横塘,整租·星韵花园二期,2室2厅,69平米,2750
20201118,高新,横塘,整租·横塘路88号,3室1厅,91平米,3200
20201118,高新,横塘,整租·横塘路88号,3室2厅,120平米,3200
20201118,高新,横塘,整租·湖畔翠庭,3室2厅,109平米,4000
20201118,高新,横塘,整租·山水映象,3室1厅,99平米,3600
20201118,高新,横塘,整租·横塘路88号,3室2厅,95平米,3200
20201118,高新,横塘,整租·横塘路88号,3室2厅,120平米,3300
20201118,高新,横塘,整租·新创宝带熙岸,2室2厅,90平米,2800
20201118,高新,横塘,整租·山水映象,2室1厅,89平米,2800
20201118,高新,横塘,整租·横塘路88号,3室2厅,106平米,3600
20201118,高新,横塘,整租·学府花苑,4室2厅,143平米,4300
20201118,高新,横塘,整租·横塘路88号,3室2厅,120平米,3600
20201118,高新,横塘,整租·仁恒棠悦湾,3室1厅,142平米,6500
20201118,高新,横塘,整租·横塘路88号,3室1厅,83平米,2600
20201118,高新,横塘,整租·横塘路88号,2室1厅,65平米,2450
20201118,高新,横塘,整租·山水映象,2室2厅,78平米,2800
20201118,高新,横塘,整租·横塘路88号,3室1厅,86平米,3100
20201118,高新,横塘,整租·横塘路88号,3室2厅,105平米,3200
20201118,高新,横塘,整租·晋源水岸花苑,2室2厅,68平米,1800
20201118,高新,横塘,整租·石湖山水居,2室1厅,65平米,1850
20201118,高新,横塘,整租·横塘路88号,3室2厅,91平米,2900
20201118,高新,横塘,整租·横塘路88号,3室2厅,90平米,2900
20201118,高新,横塘,整租·横塘路88号,3室2厅,120平米,3800
20201118,高新,横塘,整租·横塘路88号,3室2厅,95平米,2850
20201118,高新,横塘,整租·晋源水岸花苑,2室1厅,78平米,2800
20201118,高新,横塘,整租·横塘路88号,3室2厅,80平米,2800
20201118,高新,横塘,整租·横塘路88号,3室1厅,92平米,3500
20201118,高新,横塘,整租·中锐星悦湾名苑,2室1厅,43平米,2900
20201118,高新,横塘,整租·横塘路88号,3室2厅,90平米,3000
20201118,高新,横塘,整租·横塘路88号,3室2厅,120平米,3500
20201118,高新,横塘,整租·彩云花园,2室1厅,90平米,2800
20201118,高新,横塘,整租·横塘路88号,3室1厅,90平米,3000
20201118,高新,横塘,整租·横塘路88号,3室2厅,106平米,3350
20201118,高新,横塘,整租·湖畔翠庭,3室1厅,114平米,3300
20201118,高新,横塘,整租·横塘路88号,3室2厅,81平米,2800
20201118,高新,横塘,整租·横塘路88号,3室2厅,82平米,2900
20201118,高新,横塘,整租·横塘路88号,3室2厅,92平米,3000
20201118,高新,横塘,整租·横塘路88号,3室2厅,120平米,3500
20201118,高新,横塘,整租·彩云花园,2室1厅,90平米,2800
20201118,高新,横塘,整租·彩云花园,3室2厅,120平米,3200
20201118,高新,横塘,整租·横塘路88号,3室2厅,105平米,3300
20201118,高新,横塘,整租·横塘路88号,3室2厅,105平米,3500
20201118,高新,横塘,整租·横塘路88号,2室2厅,92平米,3500
20201118,高新,横塘,整租·锦悦湾雅园,3室2厅,117平米,4600
20201118,高新,横塘,整租·金屋山庄,8室5厅,611平米,18000
20201118,高新,横塘,整租·学府花苑,4室2厅,143平米,4000
20201118,高新,横塘,整租·星韵花园三期,1室1厅,70平米,2499
20201118,高新,横塘,整租·中锐星悦湾名苑,1室1厅,42平米,1800
20201118,高新,横塘,整租·仁恒棠悦湾,3室2厅,116平米,5800
20201118,高新,横塘,整租·石湖山水居,2室1厅,65平米,2050
20201118,高新,横塘,整租·石湖山水居,2室1厅,64平米,2400
20201118,高新,横塘,整租·山水映象,4室3厅,300平米,11000
20201118,高新,横塘,整租·仁恒棠悦湾,3室2厅,142平米,6000
20201118,高新,横塘,整租·横塘路88号,3室1厅,91平米,2900
20201118,高新,横塘,整租·新创宝带熙岸,2室1厅,90平米,2200
20201118,高新,横塘,整租·中锐星悦湾名苑,3室1厅,97平米,4200
20201118,高新,横塘,整租·仁恒棠悦湾,2室2厅,89平米,5500
20201118,高新,横塘,合租·星韵花园三期,2居室,72平米,1300
20201118,高新,横塘,整租·石湖山水居,3室2厅,90平米,2300
20201118,高新,横塘,整租·星韵花园二期,2室1厅,72平米,2600
20201118,高新,横塘,整租·横塘路88号,4室1厅,121平米,3000
20201118,高新,横塘,整租·横塘路88号,3室2厅,91平米,2400
20201118,高新,横塘,整租·仁恒棠悦湾,3室2厅,115平米,5200
20201118,高新,横塘,整租·美田山水之恋,2室2厅,83平米,2800
20201118,高新,横塘,整租·学府花苑,4室2厅,165平米,3700
20201118,高新,横塘,整租·星韵花园二期,3室2厅,108平米,3700
20201118,高新,横塘,整租·石湖山水居,2室2厅,65平米,2200
20201118,高新,横塘,整租·美田山水之恋,2室1厅,113平米,1300
20201118,高新,横塘,整租·新创宝带熙岸,3室2厅,90平米,2200
20201118,高新,横塘,整租·彩云花园,5室2厅,199平米,5000
20201118,高新,横塘,整租·石湖花园,3室2厅,95平米,2400
20201118,高新,横塘,整租·石湖山水居,2室1厅,65平米,2200
20201118,高新,横塘,合租·学府花苑,4居室,146平米,2000
20201118,高新,横塘,整租·新创宝带熙岸,3室1厅,89平米,2300
20201118,高新,横塘,整租·中锐星悦湾名苑,1室1厅,42平米,1800
20201118,高新,横塘,整租·中锐星悦湾名苑,1室1厅,42平米,1800
