20201118,吴中,郭巷,合租·双银国际金融城,2居室,63平米,1600
20201118,吴中,郭巷,合租·华润金悦湾,4居室,12平米,1050
20201118,吴中,郭巷,合租·中海独墅岛,4居室,14平米,1190
20201118,吴中,郭巷,合租·中海独墅岛,4居室,15平米,1460
20201118,吴中,郭巷,整租·万科湖西玲珑,4室3厅,182平米,4500
20201118,吴中,郭巷,合租·保利独墅西岸,4居室,22平米,950
20201118,吴中,郭巷,整租·星屿仁恒,4室2厅,180平米,8900
20201118,吴中,郭巷,合租·中海独墅岛,4居室,23平米,1360
20201118,吴中,郭巷,整租·华润金悦湾,4室2厅,142平米,5000
20201118,吴中,郭巷,合租·华润金悦湾,4居室,12平米,800
20201118,吴中,郭巷,整租·星岛仁恒,5室3厅,256平米,18000
20201118,吴中,郭巷,整租·万科湖西玲珑,3室2厅,110平米,4400
20201118,吴中,郭巷,整租·华润金悦湾,3室2厅,138平米,5000
20201118,吴中,郭巷,整租·中海独墅岛,4室2厅,250平米,14000
20201118,吴中,郭巷,整租·保利独墅西岸,4室1厅,280平米,6000
20201118,吴中,郭巷,合租·华润金悦湾,5居室,10平米,800
20201118,吴中,郭巷,整租·国泰新村一村、二村,5室1厅,158平米,4800
20201118,吴中,郭巷,合租·湖滨花园(吴中区),5居室,15平米,1150
20201118,吴中,郭巷,整租·保利独墅西岸,3室2厅,116平米,4300
20201118,吴中,郭巷,整租·万业湖墅金典,3室2厅,124平米,4300
20201118,吴中,郭巷,整租·旭辉美澜城,5室3厅,350平米,10000
20201118,吴中,郭巷,整租·玩美天地,3室1厅,106平米,7000
20201118,吴中,郭巷,整租·中海独墅岛,4室2厅,143平米,5000
20201118,吴中,郭巷,整租·中海独墅岛,4室2厅,305平米,18000
20201118,吴中,郭巷,整租·双银国际金融城,6室3厅,780平米,28000
20201118,吴中,郭巷,合租·保利独墅西岸,5居室,18平米,1260
20201118,吴中,郭巷,整租·双银国际金融城,4室2厅,87平米,3900
20201118,吴中,郭巷,合租·保利独墅西岸,5居室,10平米,860
20201118,吴中,郭巷,整租·中海独墅岛,3室2厅,88平米,2500
20201118,吴中,郭巷,合租·保利独墅西岸,4居室,18平米,1020
20201118,吴中,郭巷,整租·华润金悦湾,5室2厅,227平米,4800
20201118,吴中,郭巷,合租·保利独墅西岸,5居室,20平米,1290
20201118,吴中,郭巷,独栋·朗诗寓,东方大道店,32间在租,2200
20201118,吴中,郭巷,独栋·朗诗寓,东方大道店,9间在租,1900-2100
20201118,吴中,郭巷,整租·万科湖西玲珑,3室2厅,116平米,4500
20201118,吴中,郭巷,独栋·朗诗寓,东方大道店,26间在租,2050-2780
20201118,吴中,郭巷,整租·万科湖西玲珑,4室2厅,200平米,4500
20201118,吴中,郭巷,合租·湖滨花园(吴中区),5居室,12平米,1150
20201118,吴中,郭巷,整租·万科湖西玲珑,3室2厅,111平米,4200
20201118,吴中,郭巷,整租·香滨水岸,4室2厅,160平米,4200
20201118,吴中,郭巷,整租·万科湖西玲珑,3室1厅,115平米,4500
20201118,吴中,郭巷,整租·保利独墅西岸,4室2厅,136平米,4500
20201118,吴中,郭巷,整租·中海独墅岛,3室2厅,116平米,2300
20201118,吴中,郭巷,整租·保利独墅西岸,3室2厅,116平米,3700
20201118,吴中,郭巷,整租·保利独墅西岸,3室2厅,112平米,4500
20201118,吴中,郭巷,合租·华润金悦湾,3居室,18平米,1060
20201118,吴中,郭巷,整租·湖岸名家北区,3室2厅,132平米,4900
20201118,吴中,郭巷,合租·湖岸名家南区,4居室,20平米,900
20201118,吴中,郭巷,整租·华润金悦湾,4室2厅,230平米,4000
20201118,吴中,郭巷,整租·彩虹路,4室2厅,194平米,7000
20201118,吴中,郭巷,整租·中海独墅岛,4室3厅,330平米,15000
20201118,吴中,郭巷,整租·中海独墅岛,4室2厅,295平米,7000
20201118,吴中,郭巷,整租·中海独墅岛,6室3厅,613平米,8000
20201118,吴中,郭巷,整租·双银国际金融城,4室1厅,230平米,10000
20201118,吴中,郭巷,整租·保利独墅西岸,4室2厅,128平米,8000
20201118,吴中,郭巷,合租·中海独墅岛,4居室,15平米,1360
20201118,吴中,郭巷,整租·万业湖墅金典,4室2厅,127平米,4300
20201118,吴中,郭巷,合租·塘南新村北区,4居室,15平米,1100
20201118,吴中,郭巷,整租·湖滨花园(吴中区),3室2厅,120平米,5500
20201118,吴中,郭巷,合租·塘南新村南区,4居室,20平米,900
20201118,吴中,郭巷,整租·万科湖西玲珑,3室1厅,115平米,4200
20201118,吴中,郭巷,合租·湖岸名家南区,4居室,25平米,950
20201118,吴中,郭巷,合租·中茵星墅湾,4居室,20平米,1200
20201118,吴中,郭巷,合租·塘南新村北区,3居室,20平米,1000
20201118,吴中,郭巷,整租·湖滨花园(吴中区),5室2厅,186平米,6500
20201118,吴中,郭巷,合租·万业湖墅金典,5居室,18平米,900
20201118,吴中,郭巷,整租·万科湖西玲珑,4室2厅,199平米,7000
20201118,吴中,郭巷,合租·万业湖墅金典,4居室,20平米,950
20201118,吴中,郭巷,整租·万科湖西玲珑,3室1厅,115平米,4500
20201118,吴中,郭巷,合租·塘南新村北区,4居室,22平米,1000
20201118,吴中,郭巷,整租·万科湖西玲珑,4室2厅,183平米,5500
20201118,吴中,郭巷,整租·万科湖西玲珑,3室1厅,116平米,4800
20201118,吴中,郭巷,整租·万科湖西玲珑,3室2厅,88平米,3900
20201118,吴中,郭巷,整租·万科湖西玲珑,3室2厅,115平米,4000
20201118,吴中,郭巷,整租·星屿仁恒,4室2厅,180平米,11000
20201118,吴中,郭巷,合租·保利独墅西岸,4居室,20平米,1460
20201118,吴中,郭巷,整租·万科湖西玲珑,4室2厅,140平米,5400
20201118,吴中,郭巷,合租·塘南新村南区,4居室,20平米,900
20201118,吴中,郭巷,整租·湖岸名家北区,2室2厅,75平米,2800
20201118,吴中,郭巷,整租·华亭梦立方,1室0厅,48平米,2900
20201118,吴中,郭巷,整租·旭辉美澜城,3室1厅,118平米,3800
20201118,吴中,郭巷,整租·湖岸名家南区,3室2厅,113平米,3500
20201118,吴中,郭巷,整租·湖岸名家北区,3室2厅,113平米,3800
20201118,吴中,郭巷,整租·万业湖墅金典,3室1厅,97平米,3600
20201118,吴中,郭巷,整租·保利独墅西岸,3室2厅,128平米,3200
20201118,吴中,郭巷,合租·湖岸名家南区,4居室,25平米,950
20201118,吴中,郭巷,整租·湖岸名家南区,3室2厅,88平米,3400
20201118,吴中,郭巷,合租·万业湖墅金典,4居室,20平米,1000
20201118,吴中,郭巷,整租·国香雅苑,3室2厅,99平米,3200
20201118,吴中,郭巷,合租·保利独墅西岸,5居室,21平米,1390
20201118,吴中,郭巷,整租·万科湖西玲珑,3室1厅,107平米,4800
20201118,吴中,郭巷,合租·华润金悦湾,5居室,15平米,800
20201118,吴中,郭巷,合租·万业湖墅金典,5居室,15平米,1200
20201118,吴中,郭巷,独栋·爱租,华亭梦立方,33平米,1850
20201118,吴中,郭巷,整租·国香雅苑,3室2厅,120平米,3600
20201118,吴中,郭巷,独栋·爱租,华亭梦立方,30平米,1700
20201118,吴中,郭巷,整租·香滨水岸,3室1厅,88平米,2800
20201118,吴中,郭巷,整租·华亭梦立方,1室1厅,33平米,1900
20201118,吴中,郭巷,整租·湖岸名家北区,1室1厅,42平米,2200
20201118,吴中,郭巷,整租·保利独墅西岸,2室2厅,116平米,4800
20201118,吴中,郭巷,整租·中海独墅岛,4室2厅,143平米,2800
20201118,吴中,郭巷,整租·湖岸名家南区,3室2厅,88平米,3200
20201118,吴中,郭巷,整租·湖岸名家北区,2室2厅,77平米,3250
20201118,吴中,郭巷,整租·中海独墅岛,3室1厅,108平米,3800
20201118,吴中,郭巷,整租·华亭梦立方,2室1厅,50平米,2900
20201118,吴中,郭巷,整租·中茵星墅湾,3室2厅,136平米,6800
20201118,吴中,郭巷,整租·湖岸名家南区,2室2厅,88平米,3100
20201118,吴中,郭巷,整租·国香雅苑,2室2厅,88平米,3200
20201118,吴中,郭巷,整租·中海独墅岛,3室2厅,94平米,3800
20201118,吴中,郭巷,整租·湖岸名家南区,2室2厅,78平米,2650
20201118,吴中,郭巷,整租·万业湖墅金典,2室2厅,89平米,3200
20201118,吴中,郭巷,整租·中海独墅岛,3室2厅,108平米,2300
20201118,吴中,郭巷,整租·国泰新村一村、二村,8室2厅,280平米,7500
20201118,吴中,郭巷,整租·湖岸名家北区,2室2厅,78平米,2800
20201118,吴中,郭巷,整租·玩美天地,2室2厅,87平米,3500
20201118,吴中,郭巷,整租·万业湖墅金典,3室2厅,102平米,3500
20201118,吴中,郭巷,整租·塘南新村北区,3室2厅,121平米,3500
20201118,吴中,郭巷,整租·万业湖墅金典,4室2厅,128平米,4500
20201118,吴中,郭巷,整租·双银国际金融城,3室1厅,64平米,2900
20201118,吴中,郭巷,整租·国香雅苑,2室2厅,85平米,2900
20201118,吴中,郭巷,整租·保利独墅西岸,2室1厅,114平米,4500
20201118,吴中,郭巷,整租·旭辉美澜城,3室1厅,89平米,3200
20201118,吴中,郭巷,整租·旭辉美澜城,3室2厅,118平米,4000
20201118,吴中,郭巷,整租·万科湖西玲珑,3室2厅,109平米,4300
20201118,吴中,郭巷,整租·湖岸名家北区,2室1厅,75平米,2800
20201118,吴中,郭巷,整租·旭辉美澜城,2室1厅,79平米,3200
20201118,吴中,郭巷,整租·中海独墅岛,3室1厅,116平米,4900
20201118,吴中,郭巷,整租·万科湖西玲珑,3室2厅,89平米,4000
20201118,吴中,郭巷,整租·万业湖墅金典,2室2厅,80平米,3300
20201118,吴中,郭巷,整租·国香雅苑,3室2厅,113平米,3500
20201118,吴中,郭巷,整租·汤堡小区,2室2厅,60平米,3000
20201118,吴中,郭巷,整租·湖岸名家南区,1室1厅,40平米,2300
20201118,吴中,郭巷,整租·保利独墅西岸,3室2厅,116平米,4000
20201118,吴中,郭巷,整租·星岛仁恒,6室2厅,256平米,15000
20201118,吴中,郭巷,整租·万业湖墅金典,2室1厅,40平米,2000
20201118,吴中,郭巷,整租·万科湖西玲珑,3室2厅,90平米,3800
20201118,吴中,郭巷,整租·中海独墅岛,3室2厅,116平米,3100
20201118,吴中,郭巷,整租·万科湖西玲珑,3室2厅,109平米,4500
20201118,吴中,郭巷,整租·万业湖墅金典,3室2厅,107平米,3500
20201118,吴中,郭巷,整租·万业湖墅金典,3室2厅,108平米,3300
20201118,吴中,郭巷,整租·星屿仁恒,4室2厅,178平米,13500
20201118,吴中,郭巷,整租·国泰新村一村、二村,7室2厅,260平米,6000
20201118,吴中,郭巷,整租·中茵星墅湾,3室2厅,102平米,4800
20201118,吴中,郭巷,整租·保利独墅西岸,3室1厅,128平米,2500
20201118,吴中,郭巷,整租·中海独墅岛,3室2厅,116平米,3300
20201118,吴中,郭巷,整租·万科湖西玲珑,3室2厅,89平米,3800
20201118,吴中,郭巷,整租·湖岸名家北区,3室2厅,118平米,4000
20201118,吴中,郭巷,整租·万业湖墅金典,3室2厅,104平米,3800
20201118,吴中,郭巷,整租·旭辉美澜城,3室2厅,89平米,3200
20201118,吴中,郭巷,整租·万业湖墅金典,2室2厅,80平米,3500
20201118,吴中,郭巷,合租·湖滨花园(吴中区),3居室,131平米,3500
20201118,吴中,郭巷,整租·万科湖西玲珑,3室2厅,115平米,4800
20201118,吴中,郭巷,整租·湖岸名家南区,3室2厅,88平米,4000
20201118,吴中,郭巷,整租·万业湖墅金典,2室2厅,82平米,3100
20201118,吴中,郭巷,整租·星屿仁恒,4室2厅,182平米,10000
20201118,吴中,郭巷,整租·湖岸名家南区,3室2厅,88平米,4000
20201118,吴中,郭巷,整租·双银国际金融城,1室1厅,60平米,2200
20201118,吴中,郭巷,整租·万业湖墅金典,2室2厅,82平米,3100
20201118,吴中,郭巷,整租·国香雅苑,3室2厅,98平米,3500
20201118,吴中,郭巷,整租·万业湖墅金典,2室2厅,82平米,3000
20201118,吴中,郭巷,整租·保利独墅西岸,3室2厅,128平米,3300
20201118,吴中,郭巷,整租·星屿仁恒,3室2厅,127平米,6500
20201118,吴中,郭巷,整租·万业湖墅金典,2室2厅,82平米,3100
20201118,吴中,郭巷,整租·双银国际金融城,1室1厅,60平米,2200
20201118,吴中,郭巷,整租·香滨水岸,3室2厅,148平米,2950
20201118,吴中,郭巷,整租·保利独墅西岸,3室2厅,112平米,4500
20201118,吴中,郭巷,整租·湖滨花园(吴中区),2室2厅,110平米,3050
20201118,吴中,郭巷,整租·湖岸名家北区,2室2厅,77平米,3250
20201118,吴中,郭巷,整租·国香雅苑,2室1厅,72平米,2800
20201118,吴中,郭巷,整租·万业湖墅金典,2室2厅,82平米,3100
20201118,吴中,郭巷,整租·万业湖墅金典,2室2厅,82平米,3100
20201118,吴中,郭巷,整租·国泰新村一村、二村,3室1厅,120平米,3000
20201118,吴中,郭巷,整租·星屿仁恒,3室1厅,127平米,5800
20201118,吴中,郭巷,整租·中海独墅岛,3室2厅,116平米,2150
20201118,吴中,郭巷,整租·中海独墅岛,4室2厅,248平米,20000
20201118,吴中,郭巷,整租·保利独墅西岸,3室2厅,116平米,3700
20201118,吴中,郭巷,整租·中海独墅岛,3室1厅,108平米,4500
20201118,吴中,郭巷,整租·湖岸名家南区,3室2厅,115平米,3800
20201118,吴中,郭巷,整租·华润金悦湾,3室2厅,111平米,4350
20201118,吴中,郭巷,整租·旭辉美澜城,3室2厅,115平米,3800
20201118,吴中,郭巷,整租·湖岸名家北区,3室2厅,117平米,3700
20201118,吴中,郭巷,整租·万科湖西玲珑,3室2厅,108平米,4000
20201118,吴中,郭巷,整租·中茵星墅湾,3室2厅,102平米,4500
20201118,吴中,郭巷,整租·国香雅苑,2室1厅,80平米,3000
20201118,吴中,郭巷,整租·香滨水岸,2室1厅,85平米,3200
20201118,吴中,郭巷,整租·万业湖墅金典,2室2厅,82平米,2600
20201118,吴中,郭巷,整租·国香雅苑,3室1厅,125平米,3450
20201118,吴中,郭巷,整租·华亭梦立方,2室2厅,48平米,2800
20201118,吴中,郭巷,整租·星屿仁恒,3室1厅,127平米,6500
20201118,吴中,郭巷,整租·华亭梦立方,2室2厅,57平米,3000
20201118,吴中,郭巷,整租·保利独墅西岸,4室2厅,128平米,4000
20201118,吴中,郭巷,整租·中海独墅岛,3室2厅,94平米,3300
20201118,吴中,郭巷,整租·万业湖墅金典,3室2厅,107平米,3500
20201118,吴中,郭巷,整租·万业湖墅金典,3室2厅,108平米,3300
20201118,吴中,郭巷,整租·星屿仁恒,4室2厅,178平米,13500
20201118,吴中,郭巷,整租·国泰新村一村、二村,7室2厅,260平米,6000
20201118,吴中,郭巷,整租·中茵星墅湾,3室2厅,102平米,4800
20201118,吴中,郭巷,整租·保利独墅西岸,3室1厅,128平米,2500
20201118,吴中,郭巷,整租·中海独墅岛,3室2厅,116平米,3300
20201118,吴中,郭巷,整租·湖岸名家北区,3室2厅,118平米,4000
20201118,吴中,郭巷,整租·旭辉美澜城,3室2厅,89平米,3200
20201118,吴中,郭巷,合租·湖滨花园(吴中区),3居室,131平米,3500
20201118,吴中,郭巷,整租·星屿仁恒,4室2厅,182平米,10000
20201118,吴中,郭巷,整租·双银国际金融城,1室1厅,60平米,2200
20201118,吴中,郭巷,整租·华亭梦立方,3室1厅,57平米,2970
20201118,吴中,郭巷,整租·保利独墅西岸,3室2厅,114平米,3500
20201118,吴中,郭巷,整租·汤堡小区,3室2厅,120平米,3600
20201118,吴中,郭巷,整租·万业湖墅金典,3室2厅,127平米,4100
20201118,吴中,郭巷,整租·万业湖墅金典,2室2厅,81平米,3200
20201118,吴中,郭巷,整租·中海独墅岛,3室2厅,108平米,2300
20201118,吴中,郭巷,整租·国泰新村一村、二村,8室2厅,280平米,7500
20201118,吴中,郭巷,整租·湖岸名家北区,2室2厅,78平米,2800
20201118,吴中,郭巷,整租·玩美天地,2室2厅,87平米,3500
20201118,吴中,郭巷,整租·塘南新村北区,3室2厅,121平米,3500
20201118,吴中,郭巷,整租·双银国际金融城,1室1厅,60平米,2200
20201118,吴中,郭巷,整租·中海独墅岛,4室2厅,143平米,3500
20201118,吴中,郭巷,整租·双银国际金融城,1室1厅,150平米,4900
20201118,吴中,郭巷,整租·中海独墅岛,3室2厅,116平米,2300
20201118,吴中,郭巷,整租·中茵星墅湾,3室2厅,101平米,4800
20201118,吴中,郭巷,整租·保利独墅西岸,3室2厅,138平米,3200
20201118,吴中,郭巷,整租·玩美天地,3室2厅,84平米,3400
20201118,吴中,郭巷,整租·湖岸名家北区,1室1厅,42平米,1900
20201118,吴中,郭巷,整租·万科湖西玲珑,3室2厅,115平米,4500
20201118,吴中,郭巷,整租·华亭梦立方,1室1厅,33平米,2350
20201118,吴中,郭巷,整租·保利独墅西岸,2室2厅,88平米,2900
20201118,吴中,郭巷,整租·湖岸名家南区,3室1厅,88平米,3000
20201118,吴中,郭巷,整租·保利独墅西岸,3室2厅,112平米,3700
20201118,吴中,郭巷,整租·塘南新村北区,3室2厅,120平米,2600
20201118,吴中,郭巷,整租·塘南新村南区,1室1厅,80平米,2700
20201118,吴中,郭巷,整租·国香雅苑,3室2厅,97平米,2800
20201118,吴中,郭巷,整租·华亭梦立方,2室2厅,57平米,1500
20201118,吴中,郭巷,整租·塘南新村北区,3室2厅,90平米,2800
20201118,吴中,郭巷,整租·华亭梦立方,3室1厅,57平米,3200
20201118,吴中,郭巷,整租·汤堡小区,2室1厅,80平米,3000
20201118,吴中,郭巷,整租·国香雅苑,4室2厅,160平米,3600
20201118,吴中,郭巷,整租·香滨水岸,2室1厅,85平米,3200
20201118,吴中,郭巷,整租·国泰新村一村、二村,3室1厅,120平米,3000
20201118,吴中,郭巷,整租·星屿仁恒,3室1厅,127平米,5800
20201118,吴中,郭巷,整租·湖滨花园(吴中区),3室2厅,90平米,2700
20201118,吴中,郭巷,整租·塘南新村南区,5室2厅,200平米,5000
20201118,吴中,郭巷,整租·中海独墅岛,3室2厅,116平米,3600
20201118,吴中,郭巷,整租·中海独墅岛,3室2厅,117平米,5000
20201118,吴中,郭巷,整租·星屿仁恒,3室2厅,127平米,6500
20201118,吴中,郭巷,整租·保利独墅西岸,3室2厅,116平米,3800
20201118,吴中,郭巷,整租·国泰新村一村、二村,3室1厅,120平米,3000
20201118,吴中,郭巷,整租·星屿仁恒,3室1厅,127平米,5800
20201118,吴中,郭巷,整租·湖滨花园(吴中区),3室2厅,90平米,2700
20201118,吴中,郭巷,整租·塘南新村南区,5室2厅,200平米,5000
20201118,吴中,郭巷,整租·中海独墅岛,3室2厅,116平米,3600
20201118,吴中,郭巷,整租·中海独墅岛,3室2厅,117平米,5000
20201118,吴中,郭巷,整租·星屿仁恒,3室2厅,127平米,6500
20201118,吴中,郭巷,整租·保利独墅西岸,3室2厅,116平米,3800
20201118,吴中,郭巷,整租·万业湖墅金典,3室1厅,81平米,2900
20201118,吴中,郭巷,整租·汤堡小区,2室2厅,80平米,3000
20201118,吴中,郭巷,整租·保利独墅西岸,3室2厅,104平米,2800
20201118,吴中,郭巷,整租·中海独墅岛,3室2厅,116平米,2900
20201118,吴中,郭巷,整租·中海独墅岛,4室2厅,143平米,3500
20201118,吴中,郭巷,整租·双银国际金融城,1室1厅,150平米,4900
20201118,吴中,郭巷,整租·中海独墅岛,3室2厅,116平米,2300
20201118,吴中,郭巷,整租·中茵星墅湾,3室2厅,101平米,4800
20201118,吴中,郭巷,整租·保利独墅西岸,3室2厅,138平米,3200
20201118,吴中,郭巷,整租·玩美天地,3室2厅,84平米,3400
20201118,吴中,郭巷,整租·湖岸名家北区,1室1厅,42平米,1900
20201118,吴中,郭巷,整租·万科湖西玲珑,3室2厅,115平米,4500
20201118,吴中,郭巷,整租·华亭梦立方,1室1厅,33平米,2350
20201118,吴中,郭巷,整租·保利独墅西岸,2室2厅,88平米,2900
20201118,吴中,郭巷,整租·湖岸名家南区,3室1厅,88平米,3000
20201118,吴中,郭巷,整租·保利独墅西岸,3室2厅,112平米,3700
20201118,吴中,郭巷,整租·塘南新村北区,3室2厅,120平米,2600
20201118,吴中,郭巷,整租·塘南新村南区,1室1厅,80平米,2700
20201118,吴中,郭巷,整租·国香雅苑,3室2厅,97平米,2800
20201118,吴中,郭巷,整租·华亭梦立方,2室2厅,57平米,1500
20201118,吴中,郭巷,整租·塘南新村北区,3室2厅,90平米,2800
20201118,吴中,郭巷,整租·华亭梦立方,3室1厅,57平米,3200
20201118,吴中,郭巷,整租·保利独墅西岸,4室1厅,136平米,2600
20201118,吴中,郭巷,整租·双银国际金融城,2室1厅,64平米,3300
20201118,吴中,郭巷,整租·塘南新村南区,2室0厅,30平米,1500
20201118,吴中,郭巷,整租·保利独墅西岸,4室2厅,136平米,2500
20201118,吴中,郭巷,整租·湖滨花园(吴中区),2室2厅,87平米,3150
20201118,吴中,郭巷,整租·保利独墅西岸,3室1厅,116平米,3300
20201118,吴中,郭巷,整租·万科湖西玲珑,3室2厅,116平米,5500
20201118,吴中,郭巷,整租·星屿仁恒,3室2厅,126平米,6150
20201118,吴中,郭巷,整租·保利独墅西岸,3室2厅,365平米,20000
20201118,吴中,郭巷,整租·湖岸名家南区,3室2厅,88平米,4000
20201118,吴中,郭巷,整租·中海独墅岛,4室2厅,230平米,15000
20201118,吴中,郭巷,整租·中海独墅岛,4室2厅,273平米,10500
20201118,吴中,郭巷,整租·保利独墅西岸,3室2厅,115平米,3500
20201118,吴中,郭巷,整租·湖滨花园(吴中区),3室2厅,131平米,3500
20201118,吴中,郭巷,整租·万业湖墅金典,3室1厅,92平米,2700
20201118,吴中,郭巷,整租·万科湖西玲珑,3室2厅,115平米,4700
20201118,吴中,郭巷,合租·中茵星墅湾,3居室,101平米,2000
20201118,吴中,郭巷,整租·双银国际金融城,1室1厅,61平米,2500
20201118,吴中,郭巷,整租·双银国际金融城,2室1厅,97平米,3500
20201118,吴中,郭巷,整租·中茵星墅湾,3室2厅,136平米,7000
20201118,吴中,郭巷,整租·双银国际金融城,10室2厅,488平米,26800
20201118,吴中,郭巷,整租·景苑新村,3室1厅,87平米,2800
20201118,吴中,郭巷,整租·湖岸名家北区,2室1厅,78平米,2900
20201118,吴中,郭巷,整租·双银国际金融城,4室1厅,60平米,3300
20201118,吴中,郭巷,整租·保利独墅西岸,3室1厅,102平米,3500
20201118,吴中,郭巷,整租·中茵星墅湾,3室2厅,136平米,5200
20201118,吴中,郭巷,整租·万业湖墅金典,4室2厅,125平米,4300
20201118,吴中,郭巷,整租·保利独墅西岸,4室2厅,143平米,8000
20201118,吴中,郭巷,整租·双银国际金融城,2室1厅,61平米,2000
20201118,吴中,郭巷,整租·中海独墅岛,3室2厅,88平米,4000
20201118,吴中,郭巷,整租·旭辉美澜城,3室2厅,89平米,3400
20201118,吴中,郭巷,整租·万科湖西玲珑,3室2厅,109平米,4500
20201118,吴中,郭巷,整租·中茵星墅湾,2室2厅,95平米,4900
20201118,吴中,郭巷,整租·湖岸名家南区,2室2厅,77平米,3100
20201118,吴中,郭巷,整租·万业湖墅金典,4室2厅,125平米,4300
20201118,吴中,郭巷,整租·景苑新村,3室1厅,87平米,2800
20201118,吴中,郭巷,整租·双银国际金融城,10室2厅,488平米,26800
20201118,吴中,郭巷,合租·中茵星墅湾,3居室,101平米,2000
20201118,吴中,郭巷,整租·双银国际金融城,1室1厅,61平米,2500
20201118,吴中,郭巷,整租·万科湖西玲珑,3室2厅,115平米,4700
20201118,吴中,郭巷,整租·湖滨花园(吴中区),3室2厅,131平米,3500
20201118,吴中,郭巷,整租·万业湖墅金典,3室1厅,92平米,2700
20201118,吴中,郭巷,整租·中茵星墅湾,3室2厅,136平米,5200
20201118,吴中,郭巷,整租·保利独墅西岸,4室2厅,143平米,8000
20201118,吴中,郭巷,整租·湖岸名家北区,2室1厅,78平米,2900
20201118,吴中,郭巷,整租·中茵星墅湾,3室2厅,136平米,7000
20201118,吴中,郭巷,整租·双银国际金融城,2室1厅,97平米,3500
20201118,吴中,郭巷,整租·双银国际金融城,2室1厅,61平米,2000
20201118,吴中,郭巷,整租·保利独墅西岸,3室1厅,102平米,3500
20201118,吴中,郭巷,整租·双银国际金融城,4室1厅,60平米,3300
20201118,吴中,郭巷,整租·中茵星墅湾,2室2厅,81平米,4000
20201118,吴中,郭巷,整租·香滨水岸,2室1厅,84平米,3700
20201118,吴中,郭巷,整租·万科湖西玲珑,3室2厅,89平米,4300
20201118,吴中,郭巷,整租·香滨水岸,2室2厅,89平米,3750
20201118,吴中,郭巷,整租·保利独墅西岸,3室2厅,115平米,4000
20201118,吴中,郭巷,整租·保利独墅西岸,2室1厅,104平米,3800
20201118,吴中,郭巷,整租·万业湖墅金典,2室1厅,81平米,3200
20201118,吴中,郭巷,整租·中海独墅岛,5室2厅,373平米,10000
20201118,吴中,郭巷,整租·湖岸名家南区,2室1厅,77平米,3000
20201118,吴中,郭巷,整租·塘南新村北区,3室2厅,122平米,3800
20201118,吴中,郭巷,整租·塘南新村北区,3室2厅,122平米,3800
20201118,吴中,郭巷,整租·国香雅苑,2室2厅,87平米,2600
20201118,吴中,郭巷,整租·万科湖西玲珑,3室2厅,115平米,4400
20201118,吴中,郭巷,整租·保利独墅西岸,5室2厅,171平米,2800
20201118,吴中,郭巷,整租·国香雅苑,2室2厅,82平米,2700
20201118,吴中,郭巷,整租·湖岸名家南区,2室2厅,77平米,2700
20201118,吴中,郭巷,整租·旭辉美澜城,2室2厅,79平米,2600
20201118,吴中,郭巷,整租·万业湖墅金典,2室2厅,82平米,2900
20201118,吴中,郭巷,合租·湖滨花园(吴中区),1居室,131平米,900
20201118,吴中,郭巷,整租·中海独墅岛,1室0厅,108平米,1800
20201118,吴中,郭巷,整租·保利独墅西岸,2室1厅,128平米,1700
20201118,吴中,郭巷,整租·中茵星墅湾,2室2厅,95平米,4200
