20201118,工业园区,湖西CBD,高楼层采光无遮挡，视野开阔，三房朝南，精装保养好新上,858万,高楼层(共27层)                                                3室2厅 | 155.85平米                                  | 南 北,https://ke-image.ljcdn.com/110000-inspection/pc1_2kURVgTCe_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,环球188一房  带租约 保养好 业主诚心出售  看房方便,498万,低楼层(共56层)                                                1室1厅 | 82平米                                  | 西,https://ke-image.ljcdn.com/110000-inspection/pc1_H9OGN4GPi_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,铂金公寓，朝西一房，可用明火，可以看房,415万,中楼层(共24层)                                                1室2厅 | 75平米                                  | 西,https://ke-image.ljcdn.com/110000-inspection/pc1_TCiw2bRvm_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,双星海.可看湖景.诚意出售.看房方便,663万,高楼层(共62层)                                                1室2厅 | 110平米                                  | 西,https://ke-image.ljcdn.com/110000-inspection/pc1_s0WpWU0BL_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,小区中间位置，南北通透方正户型,675万,中楼层(共17层)                                                3室2厅 | 133.91平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_vQpa9HG7u_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,环球188业主自住  楼层高视野好房出售,575万,高楼层(共56层)                                                2室2厅 | 125平米                                  | 北,https://ke-image.ljcdn.com/320500-inspection/pc1_QqKAMk4jo_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,好楼层 视野开阔 金鸡湖全湖景 星海随时可看,869万,中楼层(共26层)                                                3室2厅 | 153.55平米                                  | 东,https://ke-image.ljcdn.com/110000-inspection/pc1_jRymjaA5g_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,星海双，经典小户型，阳台卧室全朝南，业主诚意。,368万,中楼层(共11层)                                                1室1厅 | 47.09平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_d91Jz66l0_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,房源 星海选择 投住均可 随时看房,580万,中楼层(共62层)                                                1室1厅 | 87平米                                  | 西,https://ke-image.ljcdn.com/110000-inspection/pc1_zCsVoRZm4_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,小区装修保养超好的两房.....,350万,中楼层(共6层)                                                2室1厅 | 87平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_ZN6RhQoL3_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,东方之门高楼层 可观湖景 房东诚心出售,1480万,中楼层(共82层)                                                4室2厅 | 252.67平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_WrUOhlUBY_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,一楼带地下室，全天候采光，位置安静,758万,低楼层(共6层)                                                3室2厅 | 110平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_GdUgqsaK0_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,新城花园电梯房，一室一厅，视野采光好,275万,低楼层(共11层)                                                1室1厅 | 66.7平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_cMzpAdDa7_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,加城花园三房精致装修 保养好，诚意出售,850万,中楼层(共10层)                                                3室2厅 | 134.4平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_pZXkczDVg_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,环球188精装两房 方正户型 采光好  保养好,650万,中楼层(共56层)                                                2室2厅 | 109.39平米                                  | 西南,https://ke-image.ljcdn.com/110000-inspection/c4b8035c-6333-49e6-bfe7-12213a9619bc_1000.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,湖西CBD  高区湖景房  全新未住,780万,高楼层(共62层)                                                1室2厅 | 142平米                                  | 东,https://ke-image.ljcdn.com/110000-inspection/pc1_MpJNDRCA0_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,地铁口，省个税，通透三房，总价低，诚意出售,750万,高楼层(共22层)                                                3室2厅 | 144.23平米                                  | 南 北,https://ke-image.ljcdn.com/110000-inspection/pc1_gkcOPyY8R_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,诚意出售，看房提前约，距离地铁一号线300米,600万,低楼层(共18层)                                                3室2厅 | 138平米                                  | 南 北,https://ke-image.ljcdn.com/110000-inspection/pc1_9PYlwat4V_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,全新装修 全屋地暖 中 央空调 新风系统  诚售,1088万,中楼层(共33层)                                                4室2厅 | 190.95平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_FJPv0VsGO_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,湖景房 自住装修 保养好 唯依 省税,749万,中楼层(共47层)                                                1室1厅 | 144平米                                  | 东,https://ke-image.ljcdn.com/110000-inspection/pc1_ndg2R9JzT_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,沁苑 2室2厅 南,630万,中楼层(共6层)                                                2室2厅 | 92平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_NZ9ZGVIUi_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,安静位置 方正四房 地暖 大露台 视野佳,850万,高楼层(共17层)                                                4室2厅 | 176.39平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_GSgO5pc0n_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,加城湖滨公寓3室2厅2卫，满五唯一，税费少,620万,低楼层(共20层)                                                3室2厅 | 138平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_Zqn7cXEyf_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,环球188精装朝南精品一室XH未用看房提前联系,520万,中楼层(共56层)                                                1室1厅 | 84.12平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_8V9elGpHr_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,楼层视野佳，装修保养好，可拎包入住。,530万,高楼层(共18层)                                                2室2厅 | 120平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_hrGG5HzM1_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,东方之门  地铁口 套卧设计 园林风格 移民急售,970万,中楼层(共82层)                                                3室2厅 | 210平米                                  | 西北,https://ke-image.ljcdn.com/110000-inspection/pc1_BfXptW8Se_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,新城花园小区中间位置两房，中间楼层,320万,中楼层(共5层)                                                2室2厅 | 76.26平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_DLxuWZeoX_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,苏州中xin9号楼 精装一室户 诚意卖,480万,低楼层(共62层)                                                1室1厅 | 58平米                                  | 北,https://ke-image.ljcdn.com/110000-inspection/pc1_5ZiHAPVfl_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,万杨香樟公寓 2室2厅 南,550万,中楼层(共16层)                                                2室2厅 | 120.46平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_ndKkrIPwa_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,中间楼层  户型方正 实景拍摄  有钥匙 随时看房,885万,低楼层(共24层)                                                4室2厅 | 167平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_4Mj6mEJDc_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,房子满五年，无增值税，房子位于中上楼层，全天采光！,820万,高楼层(共11层)                                                3室2厅 | 130平米                                  | 南 北,https://ke-image.ljcdn.com/110000-inspection/pc1_wHHSOqUmz_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,铂金正1室 满五年 视野开阔 统一保养好 星海,450万,中楼层(共24层)                                                1室2厅 | 69.12平米                                  | 西北,https://ke-image.ljcdn.com/110000-inspection/pc1_Ppq7mHmcu_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,嘉怡苑正三房    通透户型  自住装修 中间楼层,715万,中楼层(共6层)                                                3室2厅 | 99.83平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_PMg7pV9LP_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,诚意出售 价格有空间  看房方便,520万,低楼层(共6层)                                                3室2厅 | 108平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_kLBumkViE_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,东方之门综合体 星海 地铁一号线 精装套房,564.2万,低楼层(共47层)                                                1室1厅 | 87平米                                  | 北,https://ke-image.ljcdn.com/110000-inspection/pc1_ZiTMDLo4c_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,全新装修 从未居住，看房随时方便,607万,低楼层(共62层)                                                1室1厅 | 87.1平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_mei8mayur_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,加城花园精装4房，小区中间，保养好，有钥匙随时看,900万,高楼层(共24层)                                                4室2厅 | 166.59平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_xn83R8y7X_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,苏州中心 1室1厅 南,920万,中楼层(共47层)                                                1室1厅 | 130平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_oaWgcALK7_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,三开间朝南方正户型，可看湖景，双星海全新未住过人！,736万,中楼层(共47层)                                                2室2厅 | 130平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_NTdyPcU3a_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,小区中间 安静 采光刺眼 保养好 看房方便,535万,中楼层(共5层)                                                3室1厅 | 104.6平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_ncyxyvUfm_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,业主诚意出售 观景房户型好采光好 看房方便 XQ未用,480万,低楼层(共21层)                                                2室2厅 | 91平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_sUJ5qYswd_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,嘉怡苑  唯一楼带大院子  大三房 采光棒 诚意出售,768万,低楼层(共6层)                                                3室2厅 | 123.77平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_9EqqR7DPj_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,精装朝南三房，配套全交通都便利，拎包入住，诚心出售,780万,高楼层(共27层)                                                3室2厅 | 158.17平米                                  | 南 北,https://ke-image.ljcdn.com/110000-inspection/pc1_JHakMhj8h_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,全新精装未住人三房，户型好 诚意出售,466万,高楼层(共18层)                                                3室2厅 | 113.84平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_I5qQGtxwN_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,东方之门，70年住宅，此房满两年，诚心出售，看房随时,1000万,中楼层(共82层)                                                2室2厅 | 180.24平米                                  | 东北,https://ke-image.ljcdn.com/110000-inspection/pc1_ZWXFENi50_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,都市花园精装3房 拎包入住满五唯一,702万,中楼层(共5层)                                                3室2厅 | 118平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_a5nL8W4wq_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,加城高品质湖景房 有钥匙 随时可用 欢迎前来品鉴,1049万,高楼层(共24层)                                                4室2厅 | 166.83平米                                  | 南 北,https://ke-image.ljcdn.com/110000-inspection/pc1_w4qNldJqB_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,苏州9号楼，全新装修，朝东视野超好，9月交房。,1080万,中楼层(共62层)                                                2室1厅 | 178平米                                  | 东南,https://ke-image.ljcdn.com/110000-inspection/pc1_JjZp0ruWi_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,苏州8号高层湖景房 星海 精装保养新 看房随时,584.8万,中楼层(共47层)                                                1室2厅 | 87平米                                  | 东北,https://ke-image.ljcdn.com/110000-inspection/pc1_vuPjnoeyo_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,铂金公寓新，看房方便，业主诚心出售。,500万,中楼层(共24层)                                                1室2厅 | 82平米                                  | 东,https://ke-image.ljcdn.com/110000-inspection/pc1_3EJ5lPmUw_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,通透大四房，房东诚意出售，楼下地铁站出行方便,780万,中楼层(共25层)                                                4室2厅 | 170.22平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_3dlsA9AIm_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,老式精装修 看房随时方便 看中价格可谈 诚信出售,550万,中楼层(共6层)                                                2室2厅 | 94.87平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_BY8JI1Afx_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,湖西金鸡湖景观通透2房，业主诚意卖，随时看房,615万,低楼层(共26层)                                                3室2厅 | 125.1平米                                  | 南 北,https://ke-image.ljcdn.com/110000-inspection/pc1_qsnUgQMuP_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,新城花园，近2年30万装修，满五省个税，中楼层位置好,360万,中楼层(共5层)                                                2室2厅 | 86.89平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_9MxKuWtow_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,高品质70年产权，星海双区，正朝南湖景，尽享城市繁华,610万,低楼层(共47层)                                                1室1厅 | 86.84平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_vqvmAyhj8_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,诚意出售 随时签约 保养很好  小区中间位置,790万,中楼层(共27层)                                                3室2厅 | 156.67平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_YFTmS9WPw_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,小区中间位置，精装修，好楼层，看房有钥匙,513万,中楼层(共5层)                                                2室2厅 | 87.97平米                                  | 南 北,https://ke-image.ljcdn.com/110000-inspection/pc1_Fqqkmcyoh_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,加城花园一期 通透3居室 可随时报名 诚意出售,720万,中楼层(共9层)                                                3室2厅 | 127平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_tZ7iaIF7q_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,好楼层 好户型 保养好 自住 诚意卖,615万,中楼层(共17层)                                                3室2厅 | 135.14平米                                  | 南 北,https://ke-image.ljcdn.com/110000-inspection/pc1_LaFk8fcZ9_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,园区湖西地铁口 精装两房  诚意出售 有车位  有钥匙,505万,低楼层(共20层)                                                2室2厅 | 95平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_1qXeICyAy_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,新上,中间位置,中间楼层,婚装保养好,满五年唯一.,339.6万,中楼层(共5层)                                                2室2厅 | 85平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_eMnxrgpXX_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,环球188好楼层 好朝向 可用星海 带租约出售,640万,中楼层(共56层)                                                1室1厅 | 105.9平米                                  | 东,https://ke-image.ljcdn.com/110000-inspection/pc1_Oi3WLx9RI_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,星海  李公堤地铁站口  湖西CBD大三房  急  售,675万,中楼层(共6层)                                                3室2厅 | 110平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_cC0KDAXKC_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,星海 统装 投住均可 看房方便,470万,中楼层(共62层)                                                1室1厅 | 58平米                                  | 西,https://ke-image.ljcdn.com/110000-inspection/pc1_N7mV9Nbjs_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,笋盘，独门独户，房本满五，有车位，诚意出售,840万,低楼层(共13层)                                                5室2厅 | 177.67平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_3VViAQJru_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,东方之门朝东户型，金鸡湖全湖景一览无余诚意出售,1300万,中楼层(共82层)                                                3室2厅 | 222.61平米                                  | 东,https://ke-image.ljcdn.com/110000-inspection/pc1_Igzuew2gv_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,映象花苑 精装通透三居室 户型方正 诚意出售,765万,低楼层(共18层)                                                3室2厅 | 121平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_KXOzAszGO_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,此房满五年唯一省个税，临湖小区，通透户型,800万,低楼层(共18层)                                                2室1厅 | 138平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/test-54b22dcf-21bb-476e-9f28-519fe43fece8.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,此房朝南正两房  精装修 诚意出售,765万,中楼层(共47层)                                                2室2厅 | 130平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/pc1_MYn78uCef_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,别墅区洋房 临湖小区 翠湖雅居2房！可观湖景,818万,中楼层(共8层)                                                2室2厅 | 126.39平米                                  | 东 东南,https://ke-image.ljcdn.com/110000-inspection/pc1_V7JNhRvEc_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,映象花苑 2房朝南 保养好 采光好 隔壁上学,715万,低楼层(共24层)                                                2室2厅 | 91平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_qgm30RDjN_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,湖畔花园电梯大三房，户型方正，楼层视野好,800万,高楼层(共27层)                                                3室2厅 | 158.17平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_BQUOVZSW4_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,电梯精装三房，满五唯一，看新城必看此房Xuequ未用,440万,中楼层(共11层)                                                3室2厅 | 107平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_sQnhy8Oyn_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,位置安静，楼层低，学曲未用，小区醉便宜三房，有钥匙,404.8万,低楼层(共5层)                                                3室2厅 | 94.89平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/test-e4e18188-e3c3-4b07-9d1d-96e32c5c252d.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,小区中间位置 闹中取静  装修很好 拎包入住,490万,低楼层(共6层)                                                2室1厅 | 71.59平米                                  | 东,https://ke-image.ljcdn.com/110000-inspection/pc1_p1YnMoHEz_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,湖西万杨香樟园3房,装修3年,拎包入住,499万,低楼层(共16层)                                                3室2厅 | 135平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_Bi0igVBjV_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,都市西区 位置好 交通便利 小区环境好 湖西CBD,470万,高楼层(共21层)                                                2室2厅 | 91.5平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_0GybrKyXL_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,70年产权  满两年   高楼层湖景大两房 看房方便,928万,中楼层(共82层)                                                2室2厅 | 169.29平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_xcdH8199w_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,小区中间位置楼层低 ,生活便利，交通方便，诚意出售！,425万,低楼层(共5层)                                                3室2厅 | 105.98平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_pqM3eioiL_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,湖畔花园中间位置南北正通透三房,810万,低楼层(共18层)                                                3室2厅 | 144.15平米                                  | 南 北,https://ke-image.ljcdn.com/110000-inspection/pc1_UR6Dg13m9_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,小区边有金鸡湖畔，双轻轨交汇处。中上楼层，采光充足,675万,高楼层(共31层)                                                2室2厅 | 103平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_jC3yAijX4_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,湖畔花园通透三房， 中间位置采光好，可看金鸡湖景！,816万,中楼层(共23层)                                                3室2厅 | 146.8平米                                  | 南,https://ke-image.ljcdn.com/110000-inspection/pc1_AkJxoud3C_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,金鸡湖湖景。业主降价50万诚心出售，星湾,560万,中楼层(共18层)                                                1室1厅 | 92平米                                  | 南,https://ke-image.ljcdn.com/320500-inspection/prod-9864e10a-90f3-4568-b360-1e4e5e9abe8b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20201118,工业园区,湖西CBD,品质小区 金鸡湖湖景房 3+1户型 星海XUE区,680万,低楼层(共26层)                                                4室2厅 | 159.74平米                                  | 东南,https://ke-image.ljcdn.com/110000-inspection/pc1_GKP7r3A1V_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
